L_http,L_https,L_numHyphens,L_numParams,L_numSubDomains,L_paramLen,L_pathLen,M_app,M_hasFBUrl,M_hasFBappURL,M_hasFBeventURL,M_hasLink,M_hasMessage,M_hasPicture,M_hasStory,M_length_of_link,M_postType,T_!,T_!!,T_:(,T_:),T_?,T_??,T_avgSentLen,T_avgWordLen,T_engDictWords,T_hashtagsPerWord,T_numChars,T_numHashtags,T_numSentences,T_numUrls,T_numWords,T_textRepFactor,T_upperCaseChars,T_urlsPerWord,U_category,U_gender,U_hasUsername,U_isPage,U_lenName,U_lenUsername,U_locale,U_pageLikes,U_wordsInName,Z_CLASS
1,0,23,0,4.0,0,3.0,web,0,0,0,1,1,1,0,150,1,0,0,0,0,1,0,62.666666666666664,4.333333333333333,30,0.0,154,0,3,1,36,1.1612903225806452,6,0.027777777777777776,22,0,1,1,15,9,0,334451,2,Spam
1,0,14,0,2.0,0,2.0,web,0,0,0,1,1,1,0,98,1,1,0,0,0,0,0,79.0,4.714285714285714,8,0.0,64,0,1,1,14,1.0769230769230769,16,0.07142857142857142,15,0,1,1,14,9,0,45661,3,Spam
1,0,0,0,2.0,0,1.0,contentsharing,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,32.333333333333336,5.666666666666667,12,0.0,85,0,3,1,15,1.0,7,0.06666666666666667,0,0,0,0,10,0,0,0,2,Spam
1,0,2,0,2.0,0,1.0,web,0,0,0,1,1,0,0,26,1,0,0,0,0,0,0,112.0,7.071428571428571,5,0.0,95,0,1,2,14,1.0769230769230769,17,0.14285714285714285,0,1,1,0,22,10,1,0,3,Spam
1,0,3,0,3.0,0,3.0,web,0,0,0,1,0,1,1,71,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,0,10,10,0,0,Spam
1,0,8,0,2.0,0,4.0,web,0,0,0,1,1,1,0,72,1,0,0,0,0,0,0,75.0,37.0,0,0.0,74,0,1,2,2,1.0,1,1.0,0,1,1,0,0,10,11,0,0,Spam
1,0,0,4,3.0,17.5,1.5,contentsharing,1,0,0,1,1,1,1,101,4,1,1,0,0,1,0,110.6842105263158,5.071428571428571,90,0.0,1757,0,19,2,350,1.6055045871559632,54,0.005714285714285714,0,0,0,0,12,0,0,0,2,Spam
1,0,12,0,2.0,0,3.0,mobile,0,0,0,1,1,1,0,98,1,1,0,0,0,0,0,24.0,5.25,3,0.0,21,0,1,1,4,1.0,2,0.25,0,2,1,0,10,14,1,0,2,Spam
1,0,0,0,3.0,0,1.0,mobile,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,66.0,10.882352941176471,12,0.0,181,0,3,1,17,1.0,16,0.058823529411764705,0,1,1,0,13,19,1,0,2,Spam
1,0,0,0,3.0,0,1.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,167.42857142857142,5.171875,173,0.0,977,0,7,1,192,1.443609022556391,23,0.005208333333333333,0,1,1,0,12,15,1,0,2,Spam
1,0,6,0,2.0,0,2.0,web,0,0,0,1,0,1,1,72,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,0,1,1,0,17,19,4,0,2,Spam
1,0,12,0,3.0,0,7.0,thirdparty,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,157.0,7.033898305084746,41,0.01694915254237288,412,1,3,1,59,1.3111111111111111,25,0.01694915254237288,0,1,1,0,11,17,1,0,2,Spam
1,0,5,1,3.0,13.0,2.0,web,0,0,0,1,1,1,0,42,3,0,0,0,0,1,0,199.0,5.48582995951417,211,0.0,1343,0,8,3,247,1.9147286821705427,79,0.012145748987854251,0,1,1,0,16,8,1,0,3,Spam
1,0,0,0,3.0,0,1.0,mobile,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,184.66666666666666,3.3,18,0.007692307692307693,389,1,3,1,130,3.1707317073170733,46,0.007692307692307693,0,1,1,0,12,13,3,0,2,Spam
1,0,12,0,3.0,0,4.0,mobile,0,0,0,1,1,1,0,126,1,1,0,0,0,0,0,45.0,4.111111111111111,8,0.0,37,0,1,1,9,1.0,1,0.1111111111111111,0,1,1,0,10,12,1,0,2,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,1,1,1,0,21,1,0,0,0,0,0,0,99.0,6.142857142857143,11,0.0,86,0,1,2,14,1.0,6,0.14285714285714285,9,0,1,1,15,14,0,12551,2,Spam
1,0,9,0,3.0,0,4.0,contentsharing,0,0,0,1,0,1,1,119,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1.0,0,1.0,6,0,0,1,26,0,0,342,3,Spam
1,0,0,0,2.0,0,1.0,web,0,0,0,1,1,1,0,20,1,1,0,0,0,0,0,70.0,5.454545454545454,8,0.0,60,0,1,1,11,1.0,4,0.09090909090909091,0,1,1,0,14,14,3,0,2,Spam
1,0,0,0,2.0,0,2.0,web,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,49.333333333333336,4.884615384615385,21,0.0,127,0,3,1,26,1.3,8,0.038461538461538464,0,1,1,0,9,9,1,0,2,Spam
